card_id,customer_id,card_type,credit_limit,available_limit,issue_date,expiry_date
131,65,Platinum,656263,639199,2025-11-26,2030-11-25
132,65,Platinum,792430,266670,2025-10-29,2030-10-28
133,65,Gold,759820,501849,2026-06-29,2031-06-28
134,66,Gold,110028,47216,2022-04-21,2027-04-20
135,67,Classic,95309,69706,2025-05-27,2030-05-26
136,67,Classic,129457,105870,2023-11-04,2028-11-02
137,67,Classic,100488,55060,2026-07-16,2031-07-15
138,68,Classic,285803,200049,2023-10-09,2028-10-07
139,68,Classic,236293,212038,2026-05-23,2031-05-22
140,69,Classic,97739,85852,2023-10-05,2028-10-03
141,69,Classic,137062,84397,2026-02-17,2031-02-16
142,69,Classic,136951,57419,2024-11-10,2029-11-09
143,70,Classic,116469,75478,2025-04-10,2030-04-09
144,70,Classic,92753,54196,2024-02-01,2029-01-30
145,70,Classic,122667,53483,2025-01-31,2030-01-30
146,71,Gold,274307,181682,2024-12-20,2029-12-19
147,72,Classic,130676,113795,2026-03-24,2031-03-23
148,72,Classic,103225,102786,2025-12-02,2030-12-01
149,72,Classic,89829,45751,2026-03-13,2031-03-12
150,73,Platinum,711963,517667,2022-08-04,2027-08-03
151,74,Classic,110946,91188,2021-08-14,2026-08-13
152,74,Classic,138555,69576,2021-08-18,2026-08-17
153,74,Classic,146463,66179,2026-05-25,2031-05-24
154,75,Classic,87196,59938,2024-02-16,2029-02-14
155,75,Classic,62240,34064,2020-02-29,2025-02-27
156,75,Classic,79444,76691,2021-11-26,2026-11-25
157,76,Classic,53201,18988,2025-09-11,2030-09-10
158,77,Classic,130120,48581,2023-05-20,2028-05-18
159,78,Platinum,764590,433257,2025-11-27,2030-11-26
160,78,Platinum,559196,377291,2025-09-14,2030-09-13
161,79,Classic,135990,130925,2026-05-09,2031-05-08
162,80,Gold,708116,435333,2022-11-02,2027-11-01
163,81,Classic,141214,110253,2024-09-15,2029-09-14
164,82,Classic,246120,139161,2025-02-21,2030-02-20
165,82,Classic,219658,100851,2022-06-11,2027-06-10
166,83,Platinum,798094,703499,2024-11-02,2029-11-01
167,83,Platinum,735457,696090,2022-06-04,2027-06-03
168,84,Classic,70861,69994,2026-07-14,2031-07-13
169,84,Classic,108991,66669,2026-07-03,2031-07-02
170,84,Classic,133579,76420,2026-07-12,2031-07-11
171,85,Classic,132149,71002,2025-11-07,2030-11-06
172,85,Classic,107654,42451,2026-04-18,2031-04-17
173,85,Classic,80735,42027,2022-06-10,2027-06-09
174,86,Gold,241597,93601,2026-06-03,2031-06-02
175,86,Classic,139539,72172,2026-05-12,2031-05-11
176,87,Classic,285183,141640,2025-08-08,2030-08-07
177,87,Classic,208755,169475,2024-09-19,2029-09-18
178,88,Classic,104496,39509,2023-04-24,2028-04-22
179,88,Classic,105069,82569,2023-05-04,2028-05-02
180,89,Classic,125456,87493,2022-04-19,2027-04-18
181,89,Classic,50772,38283,2024-11-08,2029-11-07
182,89,Classic,148759,95743,2021-07-25,2026-07-24
183,90,Classic,113993,62957,2022-11-07,2027-11-06
184,90,Classic,107125,95791,2023-10-16,2028-10-14
185,91,Classic,94057,81211,2024-05-13,2029-05-12
186,92,Classic,111261,50106,2024-05-01,2029-04-30
187,92,Classic,101645,34045,2024-05-05,2029-05-04
188,92,Classic,134246,96452,2025-10-29,2030-10-28
189,93,Gold,147639,50881,2025-03-15,2030-03-14
190,94,Gold,185813,83485,2024-06-20,2029-06-19
191,94,Gold,185680,99940,2025-08-26,2030-08-25
192,95,Platinum,694269,644447,2020-05-22,2025-05-21
193,95,Platinum,432262,172620,2019-09-07,2024-09-05
194,96,Classic,148176,115154,2022-06-09,2027-06-08
195,96,Classic,95870,58150,2023-01-13,2028-01-12
196,97,Classic,135426,45903,2025-10-24,2030-10-23
197,97,Classic,82411,37788,2026-05-15,2031-05-14
198,97,Classic,131439,59404,2025-06-25,2030-06-24
199,98,Classic,224141,97228,2025-06-16,2030-06-15
200,99,Classic,110952,66871,2025-03-23,2030-03-22
201,99,Classic,71992,61304,2026-01-23,2031-01-22
202,99,Classic,71465,41823,2021-11-17,2026-11-16
203,100,Classic,90888,65001,2024-11-14,2029-11-13
204,101,Platinum,507961,256369,2025-04-23,2030-04-22
205,101,Gold,610429,545208,2022-07-11,2027-07-10
206,101,Gold,353425,288791,2021-06-03,2026-06-02
207,102,Classic,248355,85272,2025-09-20,2030-09-19
208,102,Gold,239655,184192,2026-03-10,2031-03-09
209,103,Classic,59038,50869,2024-06-21,2029-06-20
210,103,Classic,51658,43025,2026-05-09,2031-05-08
211,103,Classic,63833,47560,2025-06-23,2030-06-22
212,104,Classic,142708,62864,2026-04-03,2031-04-02
213,104,Classic,73086,70015,2020-04-15,2025-04-14
214,105,Classic,130728,109757,2022-01-20,2027-01-19
215,105,Classic,110931,90370,2022-10-25,2027-10-24
216,105,Classic,92245,83490,2024-09-18,2029-09-17
217,106,Classic,86559,83745,2025-09-11,2030-09-10
218,107,Classic,148366,105419,2024-02-17,2029-02-15
219,107,Classic,94092,31988,2024-11-23,2029-11-22
220,108,Gold,147668,108204,2021-06-19,2026-06-18
221,108,Classic,193015,125629,2026-05-22,2031-05-21
222,109,Classic,128139,74652,2022-08-24,2027-08-23
223,109,Classic,117715,60356,2026-02-08,2031-02-07
224,110,Classic,288763,193170,2025-05-29,2030-05-28
225,111,Classic,281039,209115,2022-10-04,2027-10-03
226,111,Gold,217486,69765,2021-11-02,2026-11-01
227,112,Gold,158090,100432,2025-07-28,2030-07-27
228,113,Classic,90135,70553,2025-07-09,2030-07-08
229,113,Classic,112031,106153,2023-09-22,2028-09-20
230,113,Classic,105771,103871,2025-08-22,2030-08-21
231,114,Classic,142124,102110,2025-02-19,2030-02-18
232,114,Classic,90189,43531,2025-11-02,2030-11-01
233,115,Classic,144540,68604,2024-10-21,2029-10-20
234,116,Classic,147370,114447,2020-10-08,2025-10-07
235,116,Classic,75105,36711,2025-02-27,2030-02-26
236,117,Business,1379861,1173740,2024-12-09,2029-12-08
237,117,Business,1010818,506792,2024-01-04,2029-01-02
238,117,Business,1277066,761530,2021-01-16,2026-01-15
239,118,Classic,51854,50561,2026-02-23,2031-02-22
240,119,Classic,55965,20362,2020-12-22,2025-12-21
241,120,Classic,141411,58974,2026-06-09,2031-06-08
242,120,Classic,63446,19836,2023-11-29,2028-11-27
243,120,Classic,111524,96203,2024-01-24,2029-01-22
244,121,Gold,148329,51232,2024-12-26,2029-12-25
245,121,Gold,225233,97476,2023-06-02,2028-05-31
246,122,Platinum,557816,206184,2026-07-10,2031-07-09
247,123,Classic,69887,30743,2025-02-01,2030-01-31
248,123,Classic,61164,34614,2026-03-30,2031-03-29
249,123,Classic,123147,91492,2023-04-09,2028-04-07
250,124,Classic,118494,85404,2025-11-21,2030-11-20
251,124,Classic,108028,71382,2024-09-03,2029-09-02
252,124,Classic,90026,64272,2025-10-24,2030-10-23
253,125,Gold,619622,573905,2024-12-24,2029-12-23
254,125,Gold,796810,456924,2024-08-05,2029-08-04
255,125,Gold,438750,174190,2022-07-13,2027-07-12
256,126,Classic,72782,58009,2026-07-15,2031-07-14
257,127,Classic,100701,83755,2025-10-06,2030-10-05
258,128,Classic,88175,28591,2020-02-12,2025-02-10
259,128,Classic,87762,72659,2019-02-25,2024-02-24
260,129,Classic,59329,33095,2026-07-05,2031-07-04
261,129,Classic,131927,116882,2026-07-05,2031-07-04
262,130,Classic,105723,46759,2024-03-18,2029-03-17
263,130,Classic,134886,59993,2024-02-25,2029-02-23
264,130,Classic,68643,25271,2023-05-22,2028-05-20
265,131,Classic,90319,66091,2023-03-15,2028-03-13
266,132,Gold,215121,97134,2026-07-14,2031-07-13
267,132,Gold,280532,163874,2025-12-18,2030-12-17
268,132,Gold,171367,117007,2026-03-24,2031-03-23
269,133,Classic,107377,42756,2024-02-09,2029-02-07
270,133,Classic,106626,74234,2022-03-19,2027-03-18
271,133,Classic,53390,22002,2023-09-04,2028-09-02
272,134,Classic,138117,76760,2021-10-22,2026-10-21
273,135,Platinum,1167401,843575,2026-07-11,2031-07-10
274,135,Business,1383336,605305,2026-07-12,2031-07-11
275,135,Business,1831223,740715,2026-07-01,2031-06-30
276,136,Gold,207046,149487,2026-02-02,2031-02-01
277,136,Gold,275671,110121,2025-05-30,2030-05-29
278,137,Business,1663282,1538057,2020-01-19,2025-01-17
279,138,Classic,149680,117006,2026-02-12,2031-02-11
280,138,Classic,109614,44426,2026-06-15,2031-06-14
281,139,Classic,92372,35308,2026-07-10,2031-07-09
282,139,Classic,117449,35384,2026-03-11,2031-03-10
283,140,Gold,208330,76708,2023-01-25,2028-01-24
284,140,Classic,235905,165609,2022-10-19,2027-10-18
285,140,Gold,263947,195062,2026-03-08,2031-03-07
286,141,Classic,85003,61493,2022-08-29,2027-08-28
287,142,Gold,214849,191518,2023-06-21,2028-06-19
288,143,Classic,265156,239158,2026-05-27,2031-05-26
289,144,Classic,90730,63318,2021-10-13,2026-10-12
290,145,Classic,62217,33390,2019-08-26,2024-08-24
291,146,Classic,65396,62066,2019-11-03,2024-11-01
292,147,Platinum,788978,542732,2025-02-05,2030-02-04
293,148,Classic,104459,94579,2024-12-02,2029-12-01
294,148,Classic,81946,54518,2025-07-14,2030-07-13
295,148,Classic,100277,55066,2025-06-11,2030-06-10
296,149,Classic,118300,71698,2026-06-24,2031-06-23
297,149,Gold,189096,126765,2026-01-05,2031-01-04
298,149,Classic,174144,147407,2026-05-15,2031-05-14
299,150,Classic,69476,50106,2025-07-24,2030-07-23
300,150,Classic,95236,72143,2025-11-15,2030-11-14
301,151,Classic,109682,75080,2024-11-18,2029-11-17
302,151,Classic,141422,73726,2024-09-22,2029-09-21
303,151,Classic,80613,80282,2026-01-04,2031-01-03
304,152,Classic,91704,76315,2025-08-19,2030-08-18
305,152,Classic,142435,92698,2025-12-29,2030-12-28
306,153,Classic,229847,78658,2023-12-09,2028-12-07
307,153,Classic,231672,224213,2021-07-31,2026-07-30
308,154,Classic,107711,45382,2025-09-10,2030-09-09
309,154,Classic,52011,25050,2025-10-16,2030-10-15
310,155,Classic,119615,97421,2023-01-28,2028-01-27
311,155,Gold,188751,160822,2026-04-05,2031-04-04
312,156,Classic,93065,83778,2020-09-22,2025-09-21
313,156,Classic,91505,68528,2020-03-13,2025-03-12
314,156,Classic,120912,40978,2026-03-04,2031-03-03
315,157,Classic,80771,65594,2024-06-20,2029-06-19
316,157,Classic,79817,72885,2020-05-29,2025-05-28
317,157,Classic,106881,44967,2026-06-30,2031-06-29
318,158,Classic,108153,54250,2026-01-25,2031-01-24
319,158,Classic,53794,19152,2024-09-08,2029-09-07
320,158,Classic,57355,36432,2026-03-05,2031-03-04
321,159,Platinum,525803,234060,2021-07-03,2026-07-02
322,159,Gold,578484,389578,2024-10-25,2029-10-24
323,160,Classic,72280,33157,2024-02-17,2029-02-15
324,160,Classic,129887,89106,2024-07-07,2029-07-06
325,160,Classic,115230,111004,2025-06-18,2030-06-17
326,161,Classic,110443,66421,2024-12-31,2029-12-30
327,162,Platinum,649616,199810,2024-04-02,2029-04-01
328,162,Platinum,772493,533350,2023-11-13,2028-11-11
329,163,Classic,119362,93706,2024-07-27,2029-07-26
330,163,Gold,254028,154629,2022-12-19,2027-12-18
331,163,Gold,280961,149849,2022-10-13,2027-10-12
332,164,Gold,152223,96088,2025-12-08,2030-12-07
333,164,Gold,127958,69478,2025-11-28,2030-11-27
334,165,Classic,125341,76382,2021-05-21,2026-05-20
335,165,Classic,52875,41801,2019-03-03,2024-03-01
336,166,Classic,124177,43681,2026-07-11,2031-07-10
337,166,Classic,87512,77091,2025-10-02,2030-10-01
338,167,Classic,78705,65332,2026-06-21,2031-06-20
339,168,Classic,138835,136143,2024-11-15,2029-11-14
340,169,Gold,629382,239755,2025-10-14,2030-10-13
341,169,Gold,461969,369708,2025-03-04,2030-03-03
342,169,Gold,603863,372450,2025-05-25,2030-05-24
343,170,Classic,61813,37883,2025-03-20,2030-03-19
344,170,Classic,147973,98851,2025-10-09,2030-10-08
345,170,Classic,76318,31556,2024-08-11,2029-08-10
346,171,Platinum,578319,436579,2026-03-25,2031-03-24
347,171,Platinum,735406,306889,2026-05-15,2031-05-14
348,171,Platinum,779224,739021,2025-09-08,2030-09-07
349,172,Gold,130191,100442,2025-07-02,2030-07-01
350,172,Classic,136898,70640,2023-09-10,2028-09-08
351,173,Business,1968769,1357715,2020-01-31,2025-01-29
352,173,Platinum,1627482,517433,2021-08-14,2026-08-13
353,173,Business,1925273,836765,2024-08-19,2029-08-18
354,174,Classic,138188,129581,2026-06-28,2031-06-27
355,174,Classic,126619,87926,2026-02-17,2031-02-16
356,175,Classic,64201,63486,2026-01-16,2031-01-15
357,175,Classic,111797,36819,2026-05-30,2031-05-29
358,175,Classic,129964,68004,2026-05-03,2031-05-02
359,176,Platinum,1773639,1165829,2026-07-12,2031-07-11
360,176,Business,1044687,459972,2025-12-31,2030-12-30
361,176,Platinum,878039,582560,2026-05-08,2031-05-07
362,177,Classic,62739,34208,2022-12-04,2027-12-03
363,177,Classic,100940,89741,2024-09-01,2029-08-31
364,178,Platinum,607935,571542,2026-07-04,2031-07-03
365,178,Gold,764211,664300,2026-07-08,2031-07-07
366,179,Classic,114139,87733,2026-05-18,2031-05-17
367,179,Classic,54288,40569,2023-08-07,2028-08-05
368,179,Classic,108115,90721,2024-06-26,2029-06-25
369,180,Platinum,352090,285373,2025-05-19,2030-05-18
370,181,Classic,57936,43472,2023-01-15,2028-01-14
371,181,Classic,74878,30468,2020-07-16,2025-07-15
372,182,Classic,273740,137724,2024-01-08,2029-01-06
373,182,Classic,113258,77690,2021-01-01,2025-12-31
374,183,Platinum,1984005,1025548,2026-06-28,2031-06-27
375,184,Gold,607433,295449,2024-07-29,2029-07-28
376,185,Classic,69340,59860,2026-05-30,2031-05-29
377,186,Gold,137929,58416,2024-03-23,2029-03-22
378,187,Platinum,718651,307081,2025-11-04,2030-11-03
379,187,Gold,646584,207491,2026-06-19,2031-06-18
380,187,Gold,307791,186248,2025-04-29,2030-04-28
381,188,Classic,52068,27039,2019-06-22,2024-06-20
382,189,Gold,366457,304373,2025-12-10,2030-12-09
383,189,Platinum,575820,232330,2024-05-18,2029-05-17
384,190,Classic,112422,92482,2025-03-08,2030-03-07
385,190,Classic,117271,112993,2024-09-19,2029-09-18
386,190,Classic,109245,98812,2024-12-23,2029-12-22
387,191,Classic,290642,259919,2022-05-08,2027-05-07
388,192,Classic,110036,37092,2025-08-09,2030-08-08
389,192,Classic,112781,86474,2025-01-27,2030-01-26
390,192,Classic,139928,56128,2025-01-28,2030-01-27
391,193,Business,954121,370950,2024-08-04,2029-08-03
392,193,Business,1111078,402195,2026-02-16,2031-02-15
393,194,Classic,131830,122527,2024-05-28,2029-05-27
394,195,Gold,199851,199037,2026-05-15,2031-05-14
395,195,Gold,218938,198208,2026-01-18,2031-01-17
396,195,Gold,125999,52795,2024-08-31,2029-08-30
397,196,Classic,212740,182194,2021-10-29,2026-10-28
398,196,Classic,208478,151391,2022-03-20,2027-03-19
399,196,Gold,204524,170406,2024-09-29,2029-09-28
400,197,Classic,181932,110515,2026-06-20,2031-06-19
401,197,Gold,274354,149123,2025-11-24,2030-11-23
402,197,Gold,140013,132026,2026-04-09,2031-04-08
403,198,Classic,123914,48362,2025-08-13,2030-08-12
404,198,Classic,213213,89276,2026-01-19,2031-01-18
405,199,Classic,67054,56578,2023-10-04,2028-10-02
406,199,Classic,126869,111668,2021-06-09,2026-06-08
407,199,Classic,137819,57366,2026-05-08,2031-05-07
408,200,Platinum,758021,670887,2023-04-15,2028-04-13
409,200,Gold,450800,450027,2026-04-06,2031-04-05
410,201,Gold,127158,113895,2025-01-04,2030-01-03
411,201,Classic,140561,128247,2024-12-13,2029-12-12
412,202,Classic,128368,84400,2023-09-01,2028-08-30
413,202,Gold,130116,75546,2023-03-01,2028-02-28
414,203,Classic,106244,105399,2026-04-26,2031-04-25
415,203,Classic,129822,125169,2026-04-06,2031-04-05
416,203,Classic,53794,27961,2026-01-09,2031-01-08
417,204,Gold,189082,148742,2024-12-24,2029-12-23
418,204,Classic,147554,63042,2025-09-22,2030-09-21
419,205,Platinum,336482,138135,2025-11-03,2030-11-02
420,205,Gold,348107,300020,2026-03-24,2031-03-23
421,205,Gold,497234,369283,2025-11-16,2030-11-15
422,206,Platinum,382527,308772,2025-05-23,2030-05-22
423,206,Platinum,678324,373567,2022-08-23,2027-08-22
424,207,Classic,113791,54529,2026-05-20,2031-05-19
425,207,Classic,297770,251293,2025-07-02,2030-07-01
426,207,Classic,276676,104388,2025-08-03,2030-08-02
427,208,Classic,136761,96604,2026-04-06,2031-04-05
428,208,Classic,129570,96810,2024-10-07,2029-10-06
429,209,Classic,78255,72951,2023-10-06,2028-10-04
430,209,Classic,95242,84921,2024-01-08,2029-01-06
431,210,Platinum,655581,552396,2024-02-25,2029-02-23
432,211,Platinum,576265,522648,2025-02-21,2030-02-20
433,211,Platinum,323811,154950,2025-01-10,2030-01-09
434,211,Platinum,614218,212986,2025-12-01,2030-11-30
435,212,Classic,89507,88804,2025-06-10,2030-06-09
436,213,Gold,700640,344157,2025-07-18,2030-07-17
437,214,Classic,65726,20223,2026-01-09,2031-01-08
438,214,Classic,147912,100819,2025-03-21,2030-03-20
439,215,Classic,99834,99756,2023-01-03,2028-01-02
440,216,Classic,115570,107904,2025-12-28,2030-12-27
441,216,Classic,59447,43856,2024-07-25,2029-07-24
442,216,Classic,107176,34608,2024-07-30,2029-07-29
443,217,Classic,182066,130084,2024-05-07,2029-05-06
444,217,Gold,250313,181110,2025-10-01,2030-09-30
445,218,Gold,175894,67864,2024-12-26,2029-12-25
446,218,Gold,105467,74208,2023-11-25,2028-11-23
447,218,Classic,262037,199222,2025-11-29,2030-11-28
448,219,Classic,61551,47085,2021-10-31,2026-10-30
449,219,Classic,81891,53119,2024-09-16,2029-09-15
450,219,Classic,118676,45910,2025-12-10,2030-12-09
451,220,Classic,147754,88826,2021-01-27,2026-01-26
452,220,Classic,93655,50133,2020-01-21,2025-01-19
453,221,Classic,119547,102704,2024-03-10,2029-03-09
454,222,Gold,192038,96327,2022-01-15,2027-01-14
455,223,Classic,138389,75066,2026-01-06,2031-01-05
456,224,Classic,257915,117447,2025-06-10,2030-06-09
457,225,Platinum,1171502,1161839,2022-12-10,2027-12-09
458,225,Business,1772980,1714132,2025-05-31,2030-05-30
459,225,Business,1983825,1943598,2022-01-06,2027-01-05
460,226,Platinum,753114,557429,2026-06-16,2031-06-15
461,226,Gold,530562,194969,2026-05-18,2031-05-17
462,226,Platinum,531844,490580,2026-07-09,2031-07-08
463,227,Classic,127518,45617,2024-12-08,2029-12-07
464,227,Classic,116497,44673,2025-01-17,2030-01-16
465,228,Gold,218466,75397,2026-04-07,2031-04-06
466,228,Classic,196662,134253,2026-02-07,2031-02-06
467,229,Classic,130610,117050,2025-08-02,2030-08-01
468,230,Platinum,542594,467037,2022-04-16,2027-04-15
469,230,Gold,535789,460448,2026-01-14,2031-01-13
470,230,Gold,468572,457768,2022-08-19,2027-08-18
471,231,Classic,58109,46957,2025-05-14,2030-05-13
472,231,Classic,95015,39557,2024-10-20,2029-10-19
473,232,Classic,55130,32775,2024-04-29,2029-04-28
474,232,Classic,107595,100968,2023-06-08,2028-06-06
475,232,Classic,97696,78178,2025-02-17,2030-02-16
476,233,Platinum,514312,331694,2023-02-06,2028-02-05
477,233,Gold,713782,544900,2025-12-07,2030-12-06
478,234,Classic,58639,39197,2025-05-21,2030-05-20
479,234,Classic,123133,87606,2026-03-24,2031-03-23
480,234,Classic,83029,72338,2026-05-23,2031-05-22
481,235,Platinum,1499110,620655,2022-04-01,2027-03-31
482,235,Platinum,1533627,1110691,2023-09-18,2028-09-16
483,235,Business,1070431,945074,2023-05-20,2028-05-18
484,236,Gold,462310,431729,2025-08-14,2030-08-13
485,236,Platinum,637375,606270,2025-11-09,2030-11-08
486,236,Platinum,726343,284902,2025-04-11,2030-04-10
487,237,Classic,134675,128280,2026-05-10,2031-05-09
488,237,Classic,116648,82419,2026-03-04,2031-03-03
489,237,Classic,97526,69740,2025-12-04,2030-12-03
490,238,Classic,94791,92173,2026-04-11,2031-04-10
491,239,Classic,68030,30563,2023-07-17,2028-07-15
492,240,Platinum,742723,636017,2026-01-15,2031-01-14
493,241,Classic,273520,170336,2026-04-03,2031-04-02
494,242,Classic,256564,175723,2025-09-15,2030-09-14
